Country,Age_Standardized_Suicide_Rate,Age_Standardized_Suicide_Rate_Female,Age_Standardized_Suicide_Rate_Male,crude_suicide_80_above,crude_suicide_70to79,crude_suicide_60to69,crude_suicide_50to59,crude_suicide_40to49,crude_suicide_30to39,crude_suicide_20to29,crude_suicide_10to19,crude_suicide_80_above_male,crude_suicide_70to79_male,crude_suicide_60to69_male,crude_suicide_50to59_male,crude_suicide_40to49_male,crude_suicide_30to39_male,crude_suicide_20to29_male,crude_suicide_10to19_male,crude_suicide_80_above_female,crude_suicide_70to79_female,crude_suicide_60to69_female,crude_suicide_50to59_female,crude_suicide_40to49_female,crude_suicide_30to39_female,crude_suicide_20to29_female,crude_suicide_10to19_female,Regional_indicator,Happiness_Score,GDP_Per_Capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Social_Support_Level,Generosity_Level,Freedom_to_make_life_choices_level,Homicide_Rate,Homicide_Level,Crime_Index,Population,Crime_Level,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Stand_alone_law_for_mental_health,Stand_alone_policy_for_mental_health
norway,10.1,6.5,13.6,32.1,12.4,16.3,17.6,15.1,13.1,12.2,3.0,37.1,17.4,20.9,22.8,20.2,18.7,17.0,3.9,29.1,7.9,11.7,12.1,9.6,7.1,7.1,2.2,Western Europe,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,Very High,Very High,Very High,0.5,Very Low,33.72,5465630.0,Low,0.577,0.481,1.308,0.885,,48.04,,,73.522,Yes,Yes
pakistan,3.1,3.1,3.0,7.5,4.0,2.9,2.7,2.9,3.8,5.5,3.1,7.5,4.0,3.2,3.2,3.6,4.5,4.9,2.1,7.5,4.0,2.7,2.1,2.2,3.1,6.1,4.3,South Asia,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,Very Low,High,Low,4.2,High,42.51,225199937.0,Low,0.006,0.422,2.3,,0.305,,,,,Yes,No
panama,4.4,1.2,7.6,9.5,7.0,4.2,5.2,4.9,5.9,6.8,3.5,15.7,13.5,8.1,8.7,8.7,10.3,11.9,5.5,4.5,1.2,0.6,1.8,1.1,1.4,1.6,1.4,Latin America and Caribbean,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,High,Very Low,Very High,9.7,Very High,45.15,4381579.0,High,0.025,0.277,2.696,0.025,,4.031,3.452,9.221,7.331,No,Yes
paraguay,9.3,6.2,12.3,11.0,7.8,8.3,7.6,8.2,11.4,19.9,9.6,19.9,12.9,12.8,10.6,11.3,15.4,27.0,9.5,4.2,3.1,3.7,4.5,5.0,7.1,12.6,9.7,Latin America and Caribbean,5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,High,High,Very High,8.9,Very High,49.37,7219638.0,High,0.03,0.03,1.416,0.015,0.09,,,,,No,Yes
peru,5.1,2.7,7.6,11.7,8.7,8.3,7.2,6.8,6.3,6.5,2.8,17.5,13.9,14.1,11.9,10.5,9.3,9.0,2.9,7.8,4.1,3.1,2.8,3.1,3.1,3.9,2.6,Latin America and Caribbean,5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,High,Very Low,High,7.7,Very High,66.72,33359418.0,Very High,0.01,0.057,0.166,0.016,0.022,2.948,5.995,,9.507,Yes,Yes
philippines,3.7,2.3,5.2,35.1,8.7,4.1,3.8,3.3,3.6,5.0,2.5,39.3,13.3,7.2,5.9,4.9,5.6,6.8,2.9,32.6,5.3,1.3,1.8,1.7,1.5,3.1,2.1,Southeast Asia,6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,High,Low,Very High,8.4,Very High,42.46,111046913.0,Low,0.001,0.083,0.211,0.002,0.058,0.518,,,0.885,Yes,Yes
poland,13.4,3.4,23.9,14.5,16.0,21.7,27.7,20.8,15.7,15.7,5.4,35.8,33.3,40.1,49.4,35.5,27.9,28.2,8.4,5.1,4.7,6.3,7.2,6.0,3.2,2.6,2.2,Central and Eastern Europe,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,High,Very Low,High,0.8,Very Low,30.5,37797005.0,Very Low,0.125,0.261,3.207,0.716,,24.176,30.916,,16.346,Yes,Yes
portugal,8.6,3.8,14.3,47.3,28.7,18.1,16.8,13.8,8.7,4.7,1.3,94.9,48.4,29.6,26.5,22.0,14.5,7.9,1.9,20.2,13.6,8.2,8.1,6.1,3.2,1.5,0.7,Western Europe,5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,High,Very Low,Very High,0.7,Very Low,29.91,10167925.0,Very Low,0.029,0.288,0.701,0.518,0.269,,,,,Yes,Yes
romania,8.0,2.4,13.9,16.0,16.2,16.4,16.8,13.3,8.9,5.7,2.9,31.6,32.3,30.1,30.9,22.4,15.0,9.4,4.1,7.2,5.8,5.2,3.5,3.9,2.5,1.7,1.6,Central and Eastern Europe,6.123700142,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,Low,Very Low,High,1.5,Low,28.3,19127774.0,Very Low,0.171,0.392,0.911,0.277,,5.665,18.71,0.503,1.479,Yes,Yes
rwanda,11.0,6.0,16.9,93.4,48.3,24.3,17.5,9.7,8.0,8.0,3.0,168.5,76.9,35.3,25.7,14.9,12.4,11.6,4.1,40.7,28.4,15.1,9.3,4.9,4.1,4.5,1.9,Sub-Saharan Africa,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179,Very Low,High,Very High,2.5,High,24.89,13276513.0,Very Low,0.017,0.396,0.404,,,0.06,1.376,0.172,0.387,No,Yes
