Country,Age_Standardized_Suicide_Rate,Age_Standardized_Suicide_Rate_Female,Age_Standardized_Suicide_Rate_Male,crude_suicide_80_above,crude_suicide_70to79,crude_suicide_60to69,crude_suicide_50to59,crude_suicide_40to49,crude_suicide_30to39,crude_suicide_20to29,crude_suicide_10to19,crude_suicide_80_above_male,crude_suicide_70to79_male,crude_suicide_60to69_male,crude_suicide_50to59_male,crude_suicide_40to49_male,crude_suicide_30to39_male,crude_suicide_20to29_male,crude_suicide_10to19_male,crude_suicide_80_above_female,crude_suicide_70to79_female,crude_suicide_60to69_female,crude_suicide_50to59_female,crude_suicide_40to49_female,crude_suicide_30to39_female,crude_suicide_20to29_female,crude_suicide_10to19_female,Regional_indicator,Happiness_Score,GDP_Per_Capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Social_Support_Level,Generosity_Level,Freedom_to_make_life_choices_level,Homicide_Rate,Homicide_Level,Crime_Index,Population,Crime_Level,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Stand_alone_law_for_mental_health,Stand_alone_policy_for_mental_health
turkmenistan,7.2,3.7,11.0,11.1,9.1,8.2,9.6,10.0,8.6,9.7,5.9,17.2,13.3,13.3,17.0,17.6,14.5,13.6,6.2,7.8,6.1,4.1,3.3,2.8,2.9,5.8,5.6,Commonwealth of Independent States,5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847,Very High,Very High,High,4.2,High,,,,,,,,,,,,,,
uganda,20.0,18.7,21.2,153.3,99.1,47.8,29.6,17.9,14.5,14.3,5.3,176.6,88.6,41.9,30.6,20.2,18.1,17.9,6.1,137.2,107.0,52.2,28.8,15.6,10.9,10.7,4.6,Sub-Saharan Africa,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,Low,Very High,Low,11.0,Very High,56.12,47123531.0,Very High,0.002,0.032,0.942,,,0.082,2.242,0.037,0.037,Yes,Yes
ukraine,18.5,4.7,34.5,34.2,27.9,25.0,29.8,30.5,27.3,20.4,6.7,79.0,62.4,51.3,58.4,55.3,48.9,35.9,10.6,17.4,10.4,7.2,6.4,7.8,5.8,4.2,2.5,Commonwealth of Independent States,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,High,High,Very Low,6.2,High,47.42,43466819.0,High,0.139,0.052,0.049,1.576,,6.93,,,,Yes,No
united arab emirates,2.7,0.8,3.5,6.7,5.6,4.4,3.2,2.8,2.8,4.0,1.8,9.0,7.2,5.6,3.7,3.4,3.5,4.9,3.2,3.3,1.4,1.6,1.4,0.9,0.8,1.0,0.3,Middle East and North Africa,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,High,Very High,Very High,0.5,Very Low,15.23,9991089.0,Very Low,0.011,0.055,0.524,,0.033,1.649,4.37,0.36,0.765,Yes,Yes
united kingdom,7.6,3.5,11.9,15.4,7.4,8.5,13.4,15.0,10.8,8.6,2.2,19.7,11.3,13.0,20.8,24.0,16.7,13.4,3.2,12.6,3.9,4.2,6.2,6.1,4.9,3.5,1.2,Western Europe,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,Very High,Very High,High,1.2,Low,46.07,68207116.0,High,,,,,,,,,,Yes,Yes
united states,13.7,6.4,21.1,25.1,18.4,17.9,21.7,19.3,19.2,18.0,6.3,49.7,32.5,27.9,32.0,28.5,29.4,28.9,9.0,9.6,6.6,8.8,11.6,10.1,9.0,6.6,3.4,North America and ANZ,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,Very High,Very High,High,5.3,High,47.81,332915073.0,High,0.189,0.349,0.373,,,10.542,4.283,60.338,29.864,No,Yes
uruguay,16.5,7.1,26.8,38.9,32.7,23.6,22.1,22.0,20.6,23.0,8.1,89.7,57.7,39.0,35.6,33.9,31.5,38.4,12.1,17.5,15.1,10.4,9.8,10.4,9.8,7.1,3.9,Latin America and Caribbean,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,Very High,Low,Very High,8.2,Very High,51.73,3485151.0,High,0.321,0.699,,0.612,,14.134,,,,Yes,Yes
uzbekistan,7.4,4.6,10.3,4.8,6.6,7.1,7.5,9.7,9.3,10.6,9.0,7.1,11.2,12.8,13.9,16.7,13.9,12.2,8.5,3.5,3.1,2.2,1.7,3.0,4.7,9.0,9.6,Commonwealth of Independent States,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,Very High,Very High,Very High,1.1,Very Low,33.42,33935763.0,Low,0.081,0.013,0.084,0.052,,2.612,9.214,,0.09,Yes,Yes
venezuela,3.8,1.2,6.6,8.9,7.1,5.7,4.6,4.0,4.6,5.4,3.0,20.5,12.5,10.3,8.2,6.8,8.2,9.5,4.3,2.2,2.7,1.5,1.1,1.2,1.1,1.3,1.7,Latin America and Caribbean,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,High,Very Low,Very Low,56.3,Very High,83.76,28704954.0,Very High,,,,,,,,,,,
vietnam,7.0,3.4,10.8,20.9,16.6,14.8,8.3,7.7,10.3,9.0,1.8,29.4,26.2,20.6,12.9,12.8,17.1,13.5,2.5,17.1,10.5,10.1,4.0,2.6,3.5,4.2,1.0,Southeast Asia,5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,High,Low,Very High,1.5,Low,46.19,98168833.0,High,0.043,0.017,0.009,,,,,,,,
yemen,9.8,6.2,13.4,13.1,9.7,8.3,9.1,12.2,17.5,17.7,4.5,18.2,14.2,11.9,13.6,17.4,24.8,22.9,5.2,9.4,5.9,4.9,5.1,7.0,9.9,12.3,3.9,Middle East and North Africa,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,Low,Very Low,Very Low,6.7,High,,,,0.033,0.026,0.063,,,0.201,0.323,0.056,0.409,No,No
zambia,11.3,6.2,17.5,79.7,48.9,25.8,18.7,11.8,8.9,8.3,2.8,152.1,79.0,38.7,27.3,17.0,13.3,12.3,3.9,31.2,26.4,16.0,11.2,6.9,4.6,4.2,1.6,Sub-Saharan Africa,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,Very Low,High,High,5.3,High,43.62,18920651.0,Low,0.062,0.062,0.205,,0.019,0.056,1.429,0.019,0.031,Yes,Yes
zimbabwe,19.1,11.1,29.1,205.7,81.5,41.3,29.4,19.2,13.7,11.3,4.6,285.0,111.5,62.8,47.0,30.1,22.8,19.1,6.4,152.4,59.4,26.4,16.0,9.4,5.5,3.8,2.7,Sub-Saharan Africa,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699,Low,Low,Very Low,6.7,High,59.3,15092171.0,Very High,0.025,0.025,0.057,0.006,0.051,0.095,3.486,0.634,0.057,Yes,Yes
czech republic,10.5,4.2,17.2,22.4,18.8,17.0,18.6,15.8,12.8,11.6,4.0,55.4,36.1,28.5,29.8,25.5,18.7,19.2,5.6,6.0,6.1,6.8,7.4,5.6,6.4,3.6,2.4,Central and Eastern Europe,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,Very High,Very Low,High,0.6,Very Low,25.52,10724555.0,Very Low,,,,,,,,,,,
